Season,Episode,Title,Airdate,Rating,Total Votes,Episode Description
1,1,Pilot,16/01/2014,7.8,4701,"Detective Jake Peralta finds his work scrutinized when new Captain, Ray Holt, takes over at his precinct."
1,2,The Tagger,23/01/2014,7.5,3833,"When Jake arrives late for work, Captain Holt decides to shadow him. However, the arrest they make proves complicated. Meanwhile, a psychic friend of Gina's gets inside Charles' head."
1,3,The Slump,30/01/2014,7.6,3591,"With a backlog of unsolved cases, Jake finds himself in a slump. Meanwhile, Amy is put in charge of the Junior Police Program for at risk kids, but her efforts to inspire them fall flat."
1,4,M.E. Time,6/2/14,7.7,3473,"Jake meets an attractive Medical Examiner, but their relationship slows down her work, much to his colleagues' annoyance. Meanwhile, Amy desperately tries to impress Holt."
1,5,The Vulture,13/02/2014,8,3370,A detective from Major Crimes takes over Jake's nearly solved murder case and steals his thunder.
1,6,Halloween,20/02/2014,8.5,3767,"Jake makes a foolish bet with Holt that he can steal his Medal of Valor before Halloween is over, while Amy is forced to wear a costume while undercover with Charles."
1,7,48 Hours,27/02/2014,8.1,3308,Jake stupidly arrests a male suspect despite having no evidence and only has 48 hours to prove he did it or release him without charge.
1,8,Old School,6/3/14,7.7,3166,"Jake is horrified when his hero, Jimmy Brogan, a crime writer, accompanies him on the job, and threatens to quote him in a damning article. Meanwhile, Rosa has to work on her attitude in court."
1,9,Sal's Pizza,13/03/2014,7.6,3102,"Jake's favorite pizza place burns down and he is determined to prove the owner was not responsible. Meanwhile, Amy is jealous of Rosa's being offered a promotion, and Terry and Gina have to hire a new IT specialist."
1,10,Thanksgiving,20/03/2014,8.2,3178,"Amy hosts a Thanksgiving dinner at her apartment for everyone at the precinct, but it soon turns into a disaster."
1,11,Christmas,27/03/2014,8.2,3030,"When Holt receives death threats, he surprisingly puts Jake in charge of his security. Meanwhile, Terry undergoes a psych evaluation, and Amy tries to make the perfect holiday card for Holt."
1,12,Pontiac Bandit,3/4/14,8.1,3083,"Jake convinces Rosa to make a deal with a criminal in order to catch a car thief, while Charles makes an awkward return to the precinct, and Holt tries to get rid of two puppies."
1,13,The Bet,10/4/14,8.8,3501,"While Holt holds a celebration for Charles after he is awarded the Medal of Valor, Amy is forced to go on a ridiculous date with Jake after she loses their long-running bet."
1,14,The Ebony Falcon,17/04/2014,7.6,2897,"Jake begins to have second thoughts about putting Terry back in the field for a dangerous undercover assignment, while Rosa and Amy try to help Gina after she is robbed."
1,15,Operation: Broken Feather,24/04/2014,8.2,3033,"Jake is hurt when Amy tells him that she is considering leaving the precinct, while Terry helps Holt redesign the precinct to make everyone more productive."
1,16,The Party,1/5/14,8.5,3192,"The officers in the precinct head over to Holt's house to celebrate his birthday, but they wind up making a poor impression on his husband."
1,17,Full Boyle,8/5/14,7.9,2873,"Jake tries to keep Charles from going ""full Boyle"" on his new girlfriend. Meanwhile, Rosa and Amy are reluctant to help an amateur caped crime fighter, and Holt faces competition for the presidency of a police organization he founded."
1,18,The Apartment,15/05/2014,7.7,2785,"Due to his crippling debt, Jake faces losing his apartment, and asks Gina for help. Rosa and Charles clash with one of the weekend officers, and Holt and Terry ask their officers to conduct self-evaluations."
1,19,Tactical Village,22/05/2014,8.5,2990,"Jake tries to set a new record on a training course, Rosa is angry when she does not get an invite to Charles' wedding, and Gina helps Holt overcome his newfound addiction to a game on his smartphone."
1,20,Fancy Brudgom,29/05/2014,7.6,2775,"Jake tries to convince Charles to stand up to Vivian before the wedding, Terry struggles to stick to a diet after Amy and Gina give up, and Holt tries to get Rosa to make a sincere apology to an officer she offended."
1,21,Unsolvable,5/6/14,8.2,2819,"Jake and Terry try to solve an apparently unsolvable case, Amy lies to Holt in order to dodge work and escape for a romantic weekend away, while Gina and Rosa introduce Charles to ""Babylon"", their secret bathroom."
1,22,Charges and Specs,12/6/14,8.9,3450,"Jake's latest investigation results in administrative leave, and, ultimately, his firing from the NYPD. Meanwhile, Charles goes into a funk after Vivian breaks up with him before their wedding, and the others try to cheer him up."
2,1,Undercover,15/01/2015,8.2,2924,"Jake's undercover operation ends in a successful sting, until he learns one mobster has gotten away. Jake enlists Charles' help to track him down, and Holt tests the squad with practice drills. But can Charles keep his new secret from Jake?"
2,2,Chocolate Milk,22/01/2015,7.7,2752,"Holt's old nemesis is in charge of the precinct inspection, Peralta and Jeffords investigate a stabbing before Jeffords goes in for his vasectomy, and Boyle needs a plus-one for his ex-wife's wedding."
2,3,The Jimmy Jab Games,29/01/2015,8.3,2872,"The precinct holds a competition while on stand-by for a motorcade, Holt has another run-in with Deputy Chief Wuntch, Boyle needs to get an incriminating videotape from Hitchcock, and Rosa thinks Peralta still has feelings for Santiago."
2,4,Halloween II,19/10/2014,8.8,3222,"The Peralta/Holt annual Halloween bet continues when Jake challenges the Captain that he can steal his watch before midnight. Meanwhile, Gina is upset that her dance team, Floorgasm, kicks her off the squad and Terry confronts her about her bad attitude."
2,5,The Mole,2/11/14,8.2,2739,"There's a mole in the precinct and Holt and Jake need to find out who it is before Deputy Chief Madeline Wuntch gets wind of it. Meanwhile, Terry and Rosa visit a ""silent"" disco to uncover new leads for their new drug task force."
2,6,Jake and Sophia,9/11/14,8.2,2743,"Jake hits it off with a woman at a bar, but later finds out she is the attorney for a perp he is trying to put in jail. Meanwhile, Gina and Charles work to put their relationship behind them, and Amy is pressured into running for union rep."
2,7,Lockdown,16/11/2014,7.8,2629,"The precinct goes into lockdown mode on Thanksgiving night, and Jake, who was left in charge, is confident in his ability to keep spirits high and avoid chaos. Amy is less confident, as things spiral out of control."
2,8,USPIS,23/11/2014,7.9,2624,"While attempting to catch a drug dealer, Jake and Charles reluctantly join forces with the nerdy lead investigator at the U.S. Postal Service, Jack Danger. Meanwhile, the rest of the team helps Amy quit smoking."
2,9,The Road Trip,30/11/2014,8.2,2689,"Jake and Amy have a case early in the morning, so they stay at a hotel overnight. Jake invites Sophia and Amy's boyfriend not knowing that Amy is planning on breaking up with him."
2,10,The Pontiac Bandit Returns,7/12/14,8.3,2662,"The Pontiac Bandit aka Doug Judy, is back in custody, after jamming up Jake and Rosa in his previous encounter with them. But when Rosa discovers that Judy knows the whereabouts of the ""Giggle Pig"" drug leader, Capt. Holt offers the perp a plea deal to help track down the drug kingpin. Meanwhile, Gina and Boyle are nervous that their parents might be getting too close, and Santiago makes Holt a Christmas gift against his wishes."
2,11,Stakeout,14/12/2014,7.8,2571,"Jake and Boyle go on a stakeout and tensions rise between the two, Rosa shows interest in Holt's nephew, and Terry writes a book for his daughters. Santiago and Gina are displeased when they assume the characters in the book are based on them."
2,12,Beach House,4/1/15,8.3,2698,The precinct's annual getaway to Boyle's beach house is ruined when Holt guilts Peralta into inviting him along for the festivities.
2,13,Payback,11/1/15,8,2543,"Jake goes to great lengths to keep Terry's secret from the rest of the precinct, and Amy gets her chance to partner up with Captain Holt."
2,14,Defense Rests,25/01/2015,7.7,2497,Jake tries to impress Sophia's boss. Gina refuses to give her blessing to her mom's engagement. Holt faces a difficult decision.
2,15,Windbreaker City,8/2/15,8.2,2561,"Jake is heartbroken over Sophia, but his spirits are lifted when the squad is invited to a Homeland Security terrorist training simulation."
2,16,The Wednesday Incident,15/02/2015,8,2510,"Peralta sets out to prove that--for once--he is not the source of Captain Holt's bad mood. Boyle apprehends a notorious bank robber, who turns out to be a harmless-looking old man whom nobody else believes committed the crime."
2,17,Boyle-Linetti Wedding,1/3/15,8.2,2582,"It's the day of Gina and Charles' parents' wedding, and the whole squad is given a job to fulfill for the ceremony. However, Jake and Amy get sidetracked chasing a criminal, and Terry struggles to officiate the wedding."
2,18,Captain Peralta,8/3/15,7.8,2480,"Jake's mainly absentee father, Roger (guest star Bradley Whitford), comes to town to spend some time with his son. Jake can't wait to see him, but Charles is skeptical of Roger's intentions. Meanwhile, Holt tasks Amy, Terry, Gina and Rosa with an impossible brain teaser in exchange for Beyoncé tickets."
2,19,Sabotage,15/03/2015,7.9,2453,Amy and Rosa investigate Jake's claim that somebody is trying to sabotage him and get him fired. Boyle partners up with Hitchcock and Scully to solve a case. Captain Holt refuses to lie with Terry about attending Gina's dance performance.
2,20,AC/DC,26/04/2015,7.7,2433,"Jake is badly injured trying to chase a suspect, but he refuses to take time off from the job. Holt and Rosa have an awkward dinner date with their significant others, so they invite Amy and Gina along as well."
2,21,Det. Dave Majors,3/5/15,8,2470,"Jake is jealous when a detective from another precinct wants to ask Amy out on a date. Linetti and Boyle try to keep Jeffords from taking a job with a private firm, but captain Holt seems to be pushing him out the door."
2,22,The Chopper,10/5/15,8.6,2594,"When Wuntch lets Jake work his dream case, Holt worries she is setting them up to fail. Meanwhile, Terry hopes to get his girls off the wait list for a magnet school by hosting a field trip."
2,23,Johnny and Dora,17/05/2015,9.1,3448,"When Jake and Amy go under cover to catch an identity thief, the investigation brings them closer."
3,1,New Captain,7/1/16,8.3,2762,"Nobody in the precinct likes the new captain, Wuntch continues to humiliate Holt as he takes his new job in Public Relations, and Jake and Amy try to figure out what to do next after their kiss."
3,2,The Funeral,7/1/16,7.7,2482,"The Nine-Nine gets another personnel change that could put Jake and Amy's budding relationship at risk. Meanwhile, Terry assists Holt with an important public relations matter, and Rosa and Gina try to convince Charles to rethink his affection for a fellow officer."
3,3,Boyle's Hunch,14/01/2016,7.8,2413,"Jake thinks Boyle might have met his soul-mate in Genevieve, an art gallery owner, and he tries to help set them up. Meanwhile, Rosa deals with inter-precinct theft and Holt seeks Amy's help with an image campaign."
3,4,The Oolong Slayer,14/01/2016,8.5,2593,Jake and Holt both get in trouble when they work on a serial killer case together in secret. The Vulture asks Amy and Rosa set up his birthday party. Boyle introduces Terry to a delicious new snack.
3,5,Halloween III,21/01/2016,9,3065,"For this year's Halloween challenge, Jake and Holt divide the precinct into teams as they try to see who can steal a crown held under lock and key in the interrogation room."
3,6,Into the Woods,28/01/2016,7.8,2374,Jake and Charles talk Terry into going camping; Rosa receives relationship advice from Holt; Gina helps Amy prepare for a presentation.
3,7,The Mattress,4/2/16,7.8,2366,"Jake and Amy work together on a case, and wind up arguing over Jake's old, worn-out mattress. Meanwhile, Boyle scratches Holt's prized car, and the teenage boy Rosa sponsors as a ""big brother"" is in trouble with the law."
3,8,Ava,11/2/16,8.2,2406,"Jake entertains Terry's pregnant wife, Sharon, until her water breaks sooner than expected and crisis ensues at the precinct."
3,9,The Swedes,18/02/2016,7.8,2437,"Jake and Rosa investigate a case in which they have to assist InterPol. Amy and Terry team up to help Gina study for an exam, while Captain Holt recruits Charles to double with him in a squash tournament."
3,10,Yippie Kayak,25/02/2016,8.8,2730,"Jake, Charles and Gina get into trouble while doing last-minute Christmas shopping, Terry tries to make it through the holidays without a call from the precinct, and Amy takes part in a ""Polar Swim"" with Holt and Diaz."
3,11,Hostage Situation,3/3/16,7.7,2320,"Jake helps Charles reclaim the rights to his sperm from his ex-wife, Amy accidentally breaks Terry's nose after asking for a recommendation, and Gina helps interrogate a suspect who refuses to speak to anyone but her."
3,12,9 Days,10/3/16,8,2472,"Peralta and Holt contract the Mumps while working on a cold case. Terry takes over the precinct in his place, but his ambitious plans ultimately fail. Boyle is sad over the death of his dog, but Diaz doesn't understand it."
3,13,The Cruise,17/03/2016,8.1,2378,"Jake comes face-to-face with his old nemesis Doug Judy as he and Amy go on a cruise. Meanwhile, Holt's sister comes to town for a visit, and Diaz and Boyle fight over a rent-controlled apartment which was a crime scene."
3,14,Karen Peralta,24/03/2016,7.6,2249,"On Jake's birthday, his Mom tells him she is back together with his hated father. Meanwhile, Charles has an embarrassing moment with a body cam, and Holt's ""Escape the Room"" exercise for the Nine-Nine does not go as planned."
3,15,The 9-8,31/03/2016,8,2288,"Chaos ensues when the Nine-Nine is forced to share their station with the Nine-Eight precinct while their station is closed, and Charles consequently becomes jealous of Jake's old partner, who is an officer in the Nine-Eight."
3,16,House Mouses,7/4/16,7.8,2198,"When Jake insults Hitchcock and Scully's work ethic in the precinct, they force their way into one of his cases in attempt to prove themselves. Meanwhile, Amy and Gina help Rosa conquer one of her biggest fears, and Holt and Boyle work a celebrity case."
3,17,Adrian Pimento,14/04/2016,7.8,2253,"The precinct gains a new detective who has just completed a 12-year undercover job with the mob, Charles' latest mess prompts the janitors to refuse to clean the precinct, and Gina directs a video for Holt."
3,18,Cheddar,21/04/2016,7.8,2265,"While Holt is en route to visit Kevin in Paris, Jake and Amy inadvertently lose his dog. Meanwhile, Charles has laser eye surgery, and the sexual tension between Rosa and Adrian Pimento disgusts Terry."
3,19,Terry Kitties,28/04/2016,7.7,2163,"Terry enlists Jake's help in solving a twenty year old case which his old precinct never let him forget, Charles allows Adrian Pimento to stay at his place and soon regrets it, while Amy, Rosa and Holt attend a class together."
3,20,Paranoia,5/5/16,8.2,2216,"The precinct tries to set up perfect bachelor and bachelorette parties for Adrian and Rosa after they announce their engagement, but Adrian's party falls apart when he tells everyone that someone is stalking him and steals the party bus."
3,21,Maximum Security,12/5/16,8.1,2209,"With Adrian off the grid and in hiding, the rest of the squad scramble to track down the sister of Figgis, the mobster behind the operation, and throw a fake funeral to flush out Figgis' hit man."
3,22,Bureau,19/05/2016,8.7,2376,"While Amy continues to work on Figgis' sister Maura on the inside, Jake, Rosa and Holt team up with Bob Annderson to track down the FBI mole. Meanwhile, Gina helps Terry work out the culprit behind a press leak."
3,23,Greg and Larry,26/05/2016,9,2746,"After a surprising turn of events in the Nine-Nine's attempt to track down Adrian Pimento's hitman, the precinct drops everything when they suspect Holt is in danger."
4,1,Coral Palms Pt. 1,20/09/2016,8.2,2502,"Jake and Holt adjust to their new lives in Florida under the Witness Protection Program while Jimmy ""The Butcher"" Figgis remains on the loose."
4,2,Coral Palms Pt. 2,27/09/2016,8.2,2365,"Jake and Holt plan their attack on Jimmy ""The Butcher"" Figgis, only to end up on the other side of the interrogation table."
4,3,Coral Palms Pt. 3,4/10/16,8.4,2365,"The team goes to Florida to help Jake and Holt take down Jimmy Figgis, but their plan falls through due to an unexpected injury and another interruption from Sheriff Reynolds."
4,4,The Night Shift,11/10/16,7.6,2283,"Jake, on his first case back at the precinct, commandeers the vehicle of Jess Day, (from New Girl) who's visiting New York. In the meantime, Holt tries to increase office morale and Amy wants to know why Rosa is taking such long breaks."
4,5,Halloween IV,18/10/2016,8.8,2673,The squad competes in the annual Halloween heist to win the title of Ultimate Detective Slash Genius.
4,6,Monster in the Closet,15/11/2016,7.9,2178,The Nine-Nine throws a wedding for Pimento and Rosa.
4,7,Mr. Santiago,22/11/2016,8.2,2304,"Amy's father, a former cop, comes to Thanksgiving dinner and Jake tries to impress him, leaving Charles on turkey duty. In the meantime, Holt helps Pimento come to terms with the fact that he can no longer be a police officer."
4,8,Skyfire Cycle,29/11/2016,7.8,2180,"Terry meets his lifelong hero, a famous author who's received death threats. In other events, Gina tries to choose the location of the Boyle family vacation and Amy sides with Kevin in his argument with Holt over a math puzzle."
4,9,The Overmining,6/12/16,8,2145,Jake and Holt help Captain CJ with a big case.
4,10,Captain Latvia,13/12/2016,7.6,2163,Jake and Charles face off against a Latvian criminal ring when Jake helps Charles find his son's favorite toy for Christmas.
4,11,The Fugitive Pt. 1,1/1/17,8.5,2299,"The squad goes on a manhunt for a group of convicts who've escaped from a prison van on the streets of Brooklyn. When one fugitive is still loose, Jake gains a surprising ally."
4,12,The Fugitive Pt. 2,1/1/17,8.5,2042,"The squad goes on a manhunt for a group of convicts who've escaped from a prison van on the streets of Brooklyn. When one fugitive is still loose, Jake gains a surprising ally."
4,13,The Audit,11/4/17,7.7,2079,The squad tries to save their precinct from getting shut down when it's being audited by Amy's ex-boyfriend Teddy.
4,14,Serve & Protect,18/04/2017,7.9,2074,Jake and Rosa investigate a case of burglary that occurred on the set of one of their favorite detective shows as Terry's ex takes over auditing the Nine-Nine.
4,15,The Last Ride,25/04/2017,8.3,2162,Jake and Charles search for a bike thief on what may be their last case together.
4,16,Moo Moo,2/5/17,8.9,4165,Terry and Holt have different ideas for dealing with a fellow police officer who creates trouble for Terry in his own neighborhood.
4,17,Cop-Con,9/5/17,8.3,2113,Holt tells the squad to be on their best behavior at Cop-Con.
4,18,Chasing Amy,9/5/17,8,2061,Amy disappears just before the Sergeant exam.
4,19,Your Honor,16/05/2017,8,2006,Captain Holt's mother comes to the precinct for help when her house is robbed.
4,20,The Slaughterhouse,16/05/2017,8,2008,Jake and Rosa attempt to earn their idol's respect.
4,21,The Bank Job,23/05/2017,8.5,2125,Jake and Rosa learn there's more to Lieutenant Hawkins' team than meets the eye as they continue searching for bank robbers.
4,22,Crime & Punishment,23/05/2017,8.6,2267,Jake and Rosa are framed for a crime they didn't commit.
5,1,The Big House Pt. 1,8/3/17,8.5,2498,Jake and Rosa each adjust differently to life in prison.
5,2,The Big House Pt. 2,3/10/17,8.4,2318,"Jake is torn between the warden and Romero, while a local mobster claims he can prove that Hawkins is guilty."
5,3,Kicks,10/10/17,8,2130,Jake must pass an official evaluation performed by Holt in order to solve a real case.
5,4,HalloVeen,17/10/2017,9.5,4666,"The Nine-Nine has their fifth annual Halloween heist, and everyone has until midnight to claim the title of ""Amazing Human/Genius""."
5,5,Bad Beat,7/11/17,8,2096,"Jake, Terry and Holt go undercover at an illegal gambling club to track down an arms dealer."
5,6,The Venue,14/11/2017,7.8,2088,The Vulture returns and threatens to take away something important from Jake and Amy.
5,7,Two Turkeys,21/11/2017,8.1,2137,Jake and Amy bring their parents together for Thanksgiving.
5,8,Return to Skyfire,28/11/2017,7.5,2064,"When DC Parlov returns to the precinct to report his latest manuscript being stolen, Terry, Jake and Rosa go undercover at a fantasy convention to catch the culprit."
5,9,99,5/12/17,8.8,2642,"Holt learns he's in the running to become Chief Commissioner of the NYPD when the squad is in LA for a funeral, but when they miss their flight back to New York, Jake tries to get Holt back in time for the interview."
5,10,Game Night,12/12/17,8.6,2665,Jake helps Rosa break big news to her parents.
5,11,The Favor,12/12/17,8,2049,"Holt owes Seamus Murphy a favor, so the precinct searches for a loophole that will allow the captain to keep his end of the bargain without breaking the law."
5,12,Safe House,18/03/2018,8.7,2383,"After Seamus threatens Kevin, Holt devises an elaborate plan to hide him in a safe house, with Jake as his guard. Kevin is miserable as the 99 works overtime to find Seamus and take him down."
5,13,The Negotiation,25/03/2018,8.3,2241,Jake runs into a familiar face when he's called in to negotiate a hostage situation with a jewel thief.
5,14,The Box,1/4/18,9.6,6262,Jake and Holt spend all night trying to get a confession out of a suspect.
5,15,The Puzzle Master,8/4/18,7.7,2031,Jake and Amy investigate a series of arsons connected to Amy's favorite crossword puzzle author.
5,16,NutriBoom,15/04/2018,7.8,2027,Jake and Charles get suckered into a pyramid scheme.
5,17,DFW,15/04/2018,7.8,2161,Jake meets his half-sister and she invites herself to stay.
5,18,Gray Star Mutual,22/04/2018,8,1992,Pimento shows up as the insurance agent when a fire destroys Charles' food truck.
5,19,Bachelor/ette Party,29/04/2018,8.5,2098,Charles plans a scavenger hunt for Jake's bachelor party; Amy's bachelorette party escalates when it's discovered she once slept with a member of her soon-to-be wedding band.
5,20,Show Me Going,6/5/18,8.4,2261,The Nine-Nine fears for Rosa's safety when she responds to an active shooter alert.
5,21,White Whale,13/05/2018,8,1945,Rosa and Amy track down a killer who's managed to elude them for seven years; Terry helps Jake with his wedding chores; Holt and his rival try to convince each other to resign from the campaign for Commissioner.
5,22,Jake & Amy,20/05/2018,9.2,3213,The squad rushes to save Jake and Amy's wedding day from a major threat.
6,1,Honeymoon,28/03/2019,8.4,2828,Jake and Amy go on their honeymoon; Gina and Charles get into a family squabble; Terry tries to live up to his new nickname.
6,2,Hitchcock & Scully,4/4/19,8.8,2998,"Jake and Charles investigate a case of Hitchcock and Scully's from the 1980s; meanwhile, Amy's uniformed officers and Terry's detectives fight over limited resources."
6,3,The Tattler,11/4/19,7.6,2252,"Jake and Gina attend their 20th high school reunion. Back at the Nine-Nine, Charles helps Rosa with her love life."
6,4,Four Movements,18/04/2019,7.4,2430,Gina plays a high-stakes game of chess with Capt. Holt; Rosa and Amy take Gina out for a fancy brunch; Jake and Gina must use their wits to infiltrate a posh club.
6,5,A Tale of Two Bandits,25/04/2019,8.2,2310,"Terry believes the Pontiac Bandit has gone back to stealing cars, but Jake tries to prove him wrong; the rest of the squad fight to keep Shaw's a police bar when some firemen stake a claim to it."
6,6,The Crime Scene,2/5/19,8.5,2451,Jake and Rosa must deal with a mother in mourning when they work on a difficult murder case with confusing evidence.
6,7,The Honeypot,9/5/19,8.5,2338,"Jake and Holt clash over the merits of a new hire in the 99th precinct. Terry, Amy, Rosa and Charles try to do something about the cluttered bullpen."
6,8,"He Said, She Said",16/05/2019,7,3847,"Jake and Amy investigate a difficult ""he said, she said"" case of sexual assault. Holt becomes suspicious after learning his lifelong arch nemesis died in a prison transport accident."
6,9,The Golden Child,30/05/2019,8.1,2198,"Jake helps Amy navigate the complicated relationship she has with her brother, David. Charles introduces some drama into an undercover mission involving Terry and Holt."
6,10,Gintars,6/6/19,7.4,2017,A visitor from Latvia causes Charles and Jake to investigate Nikolaj's family. Holt and Amy bring in famed forensic scientist Dr. Yee to help close a case for Rosa.
6,11,The Therapist,13/06/2019,8.1,2087,Charles gets Jake involved in a case where a therapist reports one of his patients missing; Holt learns that Rosa has a new girlfriend whom everyone else has met; Amy thinks she mistakenly received a package for Terry.
6,12,Casecation,20/06/2019,7.6,2256,Work is so busy for Jake and Amy that they end up celebrating their anniversary while standing guard over a comatose patient in the hospital.
6,13,The Bimbo,27/06/2019,7.9,1968,"Holt and Jake investigate a case at Kevin's university. Back at the precinct, Terry and Amy take the squad out for lunch."
6,14,Ticking Clocks,4/7/19,8.4,2187,Jake and the squad must track down a hacker who has infiltrated the Nine-Nine's servers; Rosa deals with relationship issues; Hitchcock and Scully attempt to cook the perfect lasagna.
6,15,Return of the King,2/5/19,6.4,2463,"When Gina returns to the Nine-Nine, Jake and Terry get drawn into her life. Holt learns that Charles' son, Nikolaj, may be a genius; Rosa copes with an injury."
6,16,Cinco de Mayo,9/5/19,9.2,2923,"In order to distract Terry from the stress of his upcoming lieutenant's exam, Jake, Holt and the squad decide to hold the annual Halloween Heist on a new date, Cinco de Mayo."
6,17,Sicko,16/05/2019,8.5,1981,"Jake and Charles investigate a dangerous serial killer. Holt continues to spar with his rival, Commissioner Kelly. Terry tries to find a way to stay at the Nine-Nine."
6,18,The Suicide Squad,16/05/2019,9.1,2596,"Desperate circumstances call for desperate measures, as Jake, Holt, Amy, Terry, Rosa and Charles must ally themselves with old enemies."
7,1,Manhunter,26/03/2020,8.1,2053,Jake leads a manhunt after an assassination attempt on a city councilor; Holt adjusts to his new position as a uniformed officer.
7,2,Captain Kim,26/03/2020,8.3,1943,The new captain of the Nine-Nine invites the squad over to her house for a dinner party.
7,3,Pimemento,13/02/2020,8.6,2088,Adrian Pimento shows up unexpectedly to seek Jake and Charles' help after claiming someone is trying to kill him; the rest of the squad endures a workplace conflict seminar.
7,4,The Jimmy Jab Games II,20/02/2020,7.9,1820,Competitive juices are flowing as Jake and the squad compete in the second Jimmy Jab Games.
7,5,Debbie,27/02/2020,7.3,1925,"When cocaine and weapons are stolen from the evidence lock-up, the squad must investigate the Nine-Nine itself."
7,6,Trying,5/3/20,7.8,1762,Jake and Amy work an uncrackable case while Holt adjusts to a new beat. Hitchcock looks for the love of his life.
7,7,Ding Dong,12/3/20,8.7,2049,Capt. Holt deals with a personal loss; Jake must decide whether to take Terry or Charles to an exclusive event.
7,8,The Takeback,7/5/20,8.2,1808,"Doug Judy is back, and this time, things between him and Jake are personal; Amy and Charles try to find the perfect new vending machine for the Nine-Nine."
7,9,Dillman,14/05/2020,8.7,1870,"When a prank goes disastrously awry, things at the Nine-Nine take a distinctly Agatha Christie turn."
7,10,Admiral Peralta,2/4/20,8,1653,Jake and his father deal with unsettled family business; Amy and Rosa work a high-profile case; Terry wants to join the NYPD band.
7,11,Valloweaster,9/4/20,8.3,1839,The squad competes in an effort to determine who is the greatest human/genius.
7,12,Ransom,16/04/2020,8.8,1961,Holt asks for Jake's help in a case that is exceptionally meaningful to him. Charles and Terry work together on a side business.
7,13,Lights Out,23/04/2020,9.3,2786,The entire squad is on high alert when a massive blackout hits Brooklyn.
8,1,The Good Ones,1/1/21,4.8,4515,Amy returns from maternity leave; Jake and Rosa work a difficult case.
8,2,The Lake House,12/8/21,7.9,1891,The squad takes Capt. Holt up on an offer for a weekend getaway.
8,3,Blue Flu,19/08/2021,7,1641,Captain Holt and Amy manage an understaffed precinct; Jake and Charles investigate.
8,4,Balancing,19/08/2021,7.8,1450,Jake and Amy create a system to balance work and childcare; Rosa gets a new houseguest.
8,5,PB&J,26/08/2021,8,1454,Jake takes an old friend for a ride.
8,6,The Set Up,26/08/2021,6.7,1524,"When the FBI takes over a high-profile case, Jake keeps digging; Amy and Rosa negotiate with O'Sullivan and the police union."
8,7,Game of Boyles,2/9/21,8.1,1278,"Terry, Jake and Charles visit the Boyle Family Farm; Amy and Rosa help out Capt. Holt."
8,8,Renewal,2/9/21,8.1,1211,The squad comes together to work an important high-stakes case.
8,9,The Last Day Pt 1,16/09/2021,9.4,2130,The squad takes stock of their eight years together and look toward's their future.
8,10,The Last Day Pt 2,16/09/2021,9.6,2697,The squad takes stock of their eight years together and look towards their future.